reach_time,algo_time,percentage
73.2953,4721.1643,0.0155
73.2953,4746.8252,0.0154
73.2953,4759.1682,0.0154
73.2953,4786.5708,0.0153
73.2954,4786.8972,0.0153
73.2954,4800.0897,0.0153
73.2954,4800.7462,0.0153
73.2954,4813.7733,0.0152
73.2954,4814.1073,0.0152
73.2954,4825.8970,0.0152
73.2955,4826.2338,0.0152
73.2955,4841.1268,0.0151
73.2955,4841.4575,0.0151
73.2955,4853.6524,0.0151
73.2955,4866.5105,0.0151
73.2956,4866.8420,0.0151
73.2956,4879.6926,0.0150
73.2956,4892.6204,0.0150
73.2956,4907.8531,0.0149
73.2956,4908.1859,0.0149
73.2957,4920.8038,0.0149
73.2957,4934.5902,0.0149
73.2957,4947.1476,0.0148
73.2957,4947.4913,0.0148
73.2957,4947.7879,0.0148
73.2958,4975.2103,0.0147
73.2958,4975.5495,0.0147
73.2958,4975.8480,0.0147
73.2958,4976.4545,0.0147
73.2958,5002.7360,0.0147
73.2959,5003.4315,0.0146
73.2959,5016.2459,0.0146
73.2959,5016.9480,0.0146
73.2959,5029.7490,0.0146
73.2959,5030.1013,0.0146
73.2959,5030.4537,0.0146
73.2960,5045.8324,0.0145
73.2960,5059.1701,0.0145
73.2960,5083.9707,0.0144
73.2960,5124.3925,0.0143
73.2960,5137.9615,0.0143
73.2961,5138.3184,0.0143
73.2961,5151.0550,0.0142
73.2961,5151.7611,0.0142
73.2961,5165.1433,0.0142
73.2961,5179.4998,0.0142
73.2962,5192.5522,0.0141
73.2962,5206.2969,0.0141
73.2962,5206.6485,0.0141
73.2962,5219.9540,0.0140
73.2962,5232.3584,0.0140
73.2963,5247.8329,0.0140
73.2963,5284.4038,0.0139
73.2963,5324.4637,0.0138
73.2963,5337.5959,0.0137
73.2963,5350.2602,0.0137
73.2963,5350.6296,0.0137
73.2964,5363.8452,0.0137
73.2964,5378.3370,0.0136
73.2964,5391.8794,0.0136
73.2964,5405.9314,0.0136
73.2964,5418.7556,0.0135
73.2965,5432.1321,0.0135
73.2965,5447.5112,0.0135
73.2965,5460.1899,0.0134
73.2965,5460.5678,0.0134
73.2965,5474.3747,0.0134
73.2966,5499.2363,0.0133
73.2966,5514.7216,0.0133
73.2966,5527.1744,0.0133
73.2966,5527.5505,0.0133
73.2966,5552.7713,0.0132
73.2966,5565.6577,0.0132
73.2967,5593.3224,0.0131
73.2967,5619.1390,0.0130
73.2967,5659.8472,0.0130
73.2967,5699.1584,0.0129
73.2967,5714.3454,0.0128
73.2968,5728.3725,0.0128
73.2968,5728.7720,0.0128
73.2968,5741.9094,0.0128
73.2968,5754.9773,0.0127
73.2968,5755.3703,0.0127
73.2969,5755.7543,0.0127
73.2969,5768.7638,0.0127
73.2969,5769.1626,0.0127
73.2969,5769.5500,0.0127
73.2969,5784.3829,0.0127
73.2970,5797.6432,0.0126
73.2970,5798.0271,0.0126
73.2970,5811.0216,0.0126
73.2970,5825.4954,0.0126
73.2970,5853.0662,0.0125
73.2971,5866.1400,0.0125
73.2971,5866.5302,0.0125
73.2971,5866.8664,0.0125
73.2971,5867.2035,0.0125
73.2971,5893.1134,0.0124
73.2971,5906.5900,0.0124
73.2972,5934.6431,0.0124
73.2972,5935.0369,0.0123
73.2972,5948.1550,0.0123
73.2972,5948.5404,0.0123
73.2972,5948.9347,0.0123
73.2973,5975.7719,0.0123
73.2973,5991.7380,0.0122
73.2973,6005.1202,0.0122
73.2973,6018.7147,0.0122
73.2973,6044.1564,0.0121
73.2974,6071.7709,0.0121
73.2974,6072.1645,0.0121
73.2974,6085.5556,0.0120
73.2974,6099.3480,0.0120
73.2974,6113.1850,0.0120
73.2975,6128.6056,0.0120
73.2975,6141.4276,0.0119
73.2975,6141.8242,0.0119
73.2975,6142.2167,0.0119
73.2975,6154.3785,0.0119
73.2976,6167.8346,0.0119
73.2976,6195.3469,0.0118
73.2976,6195.7574,0.0118
73.2976,6196.1548,0.0118
73.2976,6208.8531,0.0118
73.2977,6222.9050,0.0118
73.2977,6236.4196,0.0118
73.2977,6249.6301,0.0117
73.2977,6278.4579,0.0117
73.2977,6316.9678,0.0116
73.2978,6330.9038,0.0116
73.2978,6411.1071,0.0114
73.2978,6411.4639,0.0114
73.2978,6450.6003,0.0114
73.2978,6491.5744,0.0113
73.2978,6491.9406,0.0113
73.2979,6504.1405,0.0113
73.2979,6504.5711,0.0113
73.2979,6517.7540,0.0112
73.2979,6545.8874,0.0112
73.2979,6546.3100,0.0112
73.2980,6546.6749,0.0112
73.2980,6559.5890,0.0112
73.2980,6572.6567,0.0112
73.2980,6573.0906,0.0112
73.2980,6600.8550,0.0111
73.2980,6627.0814,0.0111
73.2981,6653.5616,0.0110
73.2981,6682.2303,0.0110
73.2981,6682.6065,0.0110
73.2981,6682.9858,0.0110
73.2981,6721.4690,0.0109
73.2982,6749.0537,0.0109
73.2982,6749.4888,0.0109
73.2982,6761.8334,0.0108
73.2982,6762.2176,0.0108
73.2982,6762.5970,0.0108
73.2983,6776.5829,0.0108
73.2983,6789.7485,0.0108
73.2983,6804.4925,0.0108
73.2983,6804.8726,0.0108
73.2983,6817.7671,0.0108
73.2984,6818.1464,0.0108
73.2984,6856.9923,0.0107
73.2984,6857.7677,0.0107
73.2984,6858.1539,0.0107
73.2984,6873.0983,0.0107
73.2985,6923.8223,0.0106
73.2985,6924.2123,0.0106
73.2985,6965.3196,0.0105
73.2985,6965.7132,0.0105
73.2985,6991.5713,0.0105
73.2985,6992.0272,0.0105
73.2986,7007.4014,0.0105
73.2986,7008.1879,0.0105
73.2986,7008.5811,0.0105
73.2986,7034.1902,0.0104
73.2986,7034.6522,0.0104
73.2987,7047.4678,0.0104
73.2987,7047.8631,0.0104
73.2987,7048.2635,0.0104
73.2987,7061.7381,0.0104
73.2987,7076.7883,0.0104
73.2988,7102.6667,0.0103
73.2988,7115.5857,0.0103
73.2988,7116.4517,0.0103
73.2988,7128.9252,0.0103
73.2988,7170.2017,0.0102
73.2988,7170.6072,0.0102
73.2989,7239.1555,0.0101
73.2989,7239.5696,0.0101
73.2989,7281.1141,0.0101
73.2989,7293.6822,0.0100
